Product ID,Date,Inventory Forecast,Sales Forecast
19,2017-05-01,3.0,249.9799958
19,2017-06-01,3.0,249.9799958
19,2017-07-01,3.0,249.9799958
19,2017-08-01,3.0,249.9799958
19,2017-09-01,3.0,249.9799958
19,2017-10-01,3.0,249.9799958
24,2017-05-01,16.0,959.87998206
24,2017-06-01,16.0,959.87998206
24,2017-07-01,16.0,959.87998206
24,2017-08-01,16.0,959.87998206
24,2017-09-01,16.0,959.87998206
24,2017-10-01,16.0,959.87998206
35,2017-05-01,7.0,799.9500275
35,2017-06-01,7.0,799.9500275
35,2017-07-01,7.0,799.9500275
35,2017-08-01,7.0,799.9500275
35,2017-09-01,7.0,799.9500275
35,2017-10-01,7.0,799.9500275
37,2017-05-01,239.16768040808125,489.86001198
37,2017-06-01,249.3056576447567,489.86001198
37,2017-07-01,257.74893910592243,489.86001198
37,2017-08-01,264.78062597992914,489.86001198
37,2017-09-01,270.6367064163658,489.86001198
37,2017-10-01,275.5137259620525,489.86001198
44,2017-05-01,253.0,1503.2802969222662
44,2017-06-01,253.0,2475.2462079843144
44,2017-07-01,253.0,1955.337004949512
44,2017-08-01,253.0,2011.8075587457145
44,2017-09-01,253.0,2011.8075587457145
44,2017-10-01,253.0,2011.8075587457145
78,2017-05-01,15.0,999.9000091
78,2017-06-01,15.0,999.9000091
78,2017-07-01,15.0,999.9000091
78,2017-08-01,15.0,999.9000091
78,2017-09-01,15.0,999.9000091
78,2017-10-01,15.0,999.9000091
93,2017-05-01,256.45389199539477,878.6043932983081
93,2017-06-01,262.534683420041,682.0637014041171
93,2017-07-01,266.1275431300804,818.1303331482195
93,2017-08-01,269.7781074552747,939.078454579714
93,2017-09-01,272.78089693740856,818.1303308613853
93,2017-10-01,273.1967607601635,848.3673632111643
116,2017-05-01,274.0000000006444,1713.6371959483345
116,2017-06-01,274.0000000006444,1533.6770677013542
116,2017-07-01,274.0000000006444,1488.6868248901567
116,2017-08-01,274.0000000006444,1781.1219761152197
116,2017-09-01,274.0000000006444,1488.6869235947643
116,2017-10-01,274.0000000006444,1826.1121429531945
134,2017-05-01,194.39729982754375,715.1785714285714
134,2017-06-01,194.39729982754375,715.1785714285714
134,2017-07-01,194.39729982754375,715.1785714285714
134,2017-08-01,194.39729982754375,715.1785714285714
134,2017-09-01,194.39729982754375,715.1785714285714
134,2017-10-01,194.39729982754375,715.1785714285714
135,2017-05-01,257.4516542382719,220.0
135,2017-06-01,261.36709007763466,220.0
135,2017-07-01,263.7192586967211,220.0
135,2017-08-01,265.13057369151545,220.0
135,2017-09-01,265.97724496426105,220.0
135,2017-10-01,266.4851679262633,220.0
172,2017-05-01,244.0,1114.7309968931531
172,2017-06-01,244.0,912.0016069761871
172,2017-07-01,244.0,996.7892640468666
172,2017-08-01,244.0,961.3284618687533
172,2017-09-01,244.0,976.1592584087149
172,2017-10-01,244.0,969.9565638135686
191,2017-05-01,6130.293616005549,119382.69980730824
191,2017-06-01,6131.384373157529,114383.2014789766
191,2017-07-01,6376.400417960627,110783.56391935184
191,2017-08-01,6624.723825726798,109483.69284282395
191,2017-09-01,6664.202355073152,115683.07421967966
191,2017-10-01,6806.586090033017,116482.9919848294
216,2017-05-01,6.0,756.0
216,2017-06-01,6.0,756.0
216,2017-07-01,6.0,756.0
216,2017-08-01,6.0,756.0
216,2017-09-01,6.0,756.0
216,2017-10-01,6.0,756.0
235,2017-05-01,229.97495280800132,1274.56371607046
235,2017-06-01,236.1653242080136,1057.1978800564286
235,2017-07-01,239.83840185153008,1057.1978800564286
235,2017-08-01,241.98640092416395,1057.1978800564286
235,2017-09-01,243.23641194481877,1057.1978800564286
235,2017-10-01,243.96263339663727,1057.1978800564286
249,2017-05-01,251.48863804098477,1662.8425369407141
249,2017-06-01,251.48863804098477,1662.8425369407141
249,2017-07-01,251.48863804098477,1662.8425369407141
249,2017-08-01,251.48863804098477,1662.8425369407141
249,2017-09-01,251.48863804098477,1662.8425369407141
249,2017-10-01,251.48863804098477,1662.8425369407141
251,2017-05-01,20.0,1169.8699951
251,2017-06-01,20.0,1169.8699951
251,2017-07-01,20.0,1169.8699951
251,2017-08-01,20.0,1169.8699951
251,2017-09-01,20.0,1169.8699951
251,2017-10-01,20.0,1169.8699951
258,2017-05-01,12.0,949.9000091
258,2017-06-01,12.0,949.9000091
258,2017-07-01,12.0,949.9000091
258,2017-08-01,12.0,949.9000091
258,2017-09-01,12.0,949.9000091
258,2017-10-01,12.0,949.9000091
